match_id,workbook_row,date,stage,round,group,home,away,home_original,away_original
M001,2,2026-06-11,Group Stage,Group Stage,A,Mexico,South Africa,Mexico,S. Africa
M002,3,2026-06-12,Group Stage,Group Stage,A,South Korea,Czechia,S. Korea,Czechia
M003,4,2026-06-12,Group Stage,Group Stage,B,Canada,Bosnia and Herzegovina,Canada,Bosnia
M004,5,2026-06-12,Group Stage,Group Stage,D,USA,Paraguay,USA,Paraguay
M005,6,2026-06-13,Group Stage,Group Stage,C,Haiti,Scotland,Haiti,Scotland
M006,7,2026-06-13,Group Stage,Group Stage,D,Australia,Turkey,Australia,Turkey
M007,8,2026-06-13,Group Stage,Group Stage,C,Brazil,Morocco,Brazil,Morocco
M008,9,2026-06-13,Group Stage,Group Stage,B,Qatar,Switzerland,Qatar,Switzerland
M009,10,2026-06-14,Group Stage,Group Stage,E,Côte d'Ivoire,Ecuador,Ivory Coast,Ecudor
M010,11,2026-06-14,Group Stage,Group Stage,E,Germany,Curaçao,Germany,Curacao
M011,12,2026-06-14,Group Stage,Group Stage,F,Netherlands,Japan,Netherlands,Japan
M012,13,2026-06-14,Group Stage,Group Stage,F,Sweden,Tunisia,Sweden,Tunisia
M013,14,2026-06-15,Group Stage,Group Stage,H,Saudi Arabia,Uruguay,Saudi A.,Uruguay
M014,15,2026-06-15,Group Stage,Group Stage,H,Spain,Cabo Verde,Spain,Cabo Verde
M015,16,2026-06-15,Group Stage,Group Stage,G,Iran,New Zealand,Iran,New Zealand
M016,17,2026-06-15,Group Stage,Group Stage,G,Belgium,Egypt,Belgium,Egypt
M017,18,2026-06-16,Group Stage,Group Stage,I,France,Senegal,France,Senegal
M018,19,2026-06-16,Group Stage,Group Stage,I,Iraq,Norway,Iraq,Norway
M019,20,2026-06-16,Group Stage,Group Stage,J,Argentina,Algeria,Argentina,Algeria
M020,21,2026-06-16,Group Stage,Group Stage,J,Austria,Jordan,Austria,Jordan
M021,22,2026-06-17,Group Stage,Group Stage,L,Ghana,Panama,Ghana,Panama
M022,23,2026-06-17,Group Stage,Group Stage,L,England,Croatia,England,Croatia
M023,24,2026-06-17,Group Stage,Group Stage,K,Portugal,DR Congo,Portugal,Congo DR
M024,25,2026-06-17,Group Stage,Group Stage,K,Uzbekistan,Colombia,Uzbekistan,Colombia
M025,26,2026-06-18,Group Stage,Group Stage,A,Czechia,South Africa,Czechia,S. Africa
M026,27,2026-06-18,Group Stage,Group Stage,B,Switzerland,Bosnia and Herzegovina,Switzerland,Bosnia
M027,28,2026-06-18,Group Stage,Group Stage,B,Canada,Qatar,Canada,Qatar
M028,29,2026-06-18,Group Stage,Group Stage,A,Mexico,South Korea,Mexico,S. Korea
M029,30,2026-06-19,Group Stage,Group Stage,C,Brazil,Haiti,Brazil,Haiti
M030,31,2026-06-19,Group Stage,Group Stage,C,Scotland,Morocco,Scotland,Morocco
M031,32,2026-06-19,Group Stage,Group Stage,D,Turkey,Paraguay,Turkey,Paraguay
M032,33,2026-06-19,Group Stage,Group Stage,D,USA,Australia,USA,Australia
